,地域,都道府県,市町村名,自然・人文,種別名称,資源名称,資源ランク
0,北海道,北海道,新冠町,自然,山岳,幌尻岳,B
1,北海道,北海道,東川町,自然,山岳,大雪山,S
2,北海道,北海道,利尻富士町,自然,山岳,利尻山,A
3,北海道,北海道,京極町,自然,山岳,羊蹄山,A
4,北海道,北海道,森町/鹿部町,自然,山岳,駒ヶ岳,A
5,北海道,北海道,美瑛町/上富良野町/他,自然,山岳,十勝岳連山,A
6,北海道,北海道,斜里町,自然,山岳,斜里岳,A
7,北海道,北海道,斜里町,自然,山岳,羅臼岳,B
8,北海道,北海道,壮瞥町,自然,山岳,有珠山,B
9,北海道,北海道,鹿追町,自然,山岳,然別火山群,B
10,北海道,北海道,倶知安町,自然,山岳,ニセコアンヌプリ,B
11,北海道,北海道,苫小牧市,自然,山岳,樽前山,B
12,北海道,北海道,千歳市,自然,山岳,恵庭岳,B
13,北海道,北海道,壮瞥町,自然,山岳,昭和新山,B
14,北海道,北海道,弟子屈町,自然,山岳,アトサヌプリ火山群,B
15,北海道,北海道,美瑛町/新得町,自然,山岳,トムラウシ山,B
16,北海道,北海道,釧路市,自然,山岳,雌阿寒岳,B
17,北海道,北海道,阿寒町,自然,山岳,雄阿寒岳,B
18,北海道,北海道,増毛町,自然,山岳,暑寒別岳,B
19,東北,青森,弘前市,自然,山岳,岩木山,A
20,東北,青森,青森市,自然,山岳,八甲田山,A
21,東北,岩手,八幡平市,自然,山岳,岩手山,A
22,東北,岩手,宮古市,自然,山岳,早池峰山,B
23,東北,山形,鶴岡市,自然,山岳,月山,A
24,東北,山形,上山市/川崎町/他,自然,山岳,蔵王山,B
25,東北,福島,猪苗代町,自然,山岳,磐梯山,B
26,東北,福島,檜枝岐村,自然,山岳,燧ヶ岳,B
27,東北,福島,北塩原村,自然,山岳,吾妻連峰,B
28,東北,福島,檜枝岐村,自然,山岳,会津駒ケ岳,B
29,東北,福島,猪苗代町,自然,山岳,安達太良連山,B
30,北関東,茨城,つくば市,自然,山岳,筑波山,B
31,北関東,栃木,日光市,自然,山岳,男体山,A
32,北関東,栃木,日光市,自然,山岳,女峰山,B
33,北関東,栃木,日光市,自然,山岳,太郎山,B
34,北関東,栃木,塩谷町,自然,山岳,高原山,B
35,北関東,群馬,沼田市,自然,山岳,赤城山,B
36,北関東,群馬,東吾妻町,自然,山岳,榛名山,B
37,北関東,群馬,みなかみ町,自然,山岳,朝日岳,B
38,北陸,新潟,魚沼市,自然,山岳,平ヶ岳,B
39,北関東,群馬,草津町,自然,山岳,白根山（草津白根山）,B
40,北関東,群馬,みなかみ町/片品村/他,自然,山岳,武尊山,B
41,北関東,群馬,みなかみ町,自然,山岳,至仏山,B
42,北関東,群馬,富岡市/安中市,自然,山岳,妙義山,B
43,南関東,埼玉,小鹿野町/秩父市,自然,山岳,両神山,B
44,東京,東京,大島町,自然,山岳,三原山,B
45,東京,東京,八丈町,自然,山岳,八丈富士,B
46,東京,東京,三宅村,自然,山岳,雄山,B
47,南関東,神奈川,箱根町,自然,山岳,箱根山,B
48,南関東,神奈川,相模原市,自然,山岳,丹沢山塊,B
49,南関東,神奈川,伊勢原市,自然,山岳,大山,B
50,北陸,新潟,妙高市,自然,山岳,妙高山,A
51,北陸,新潟,南魚沼市,自然,山岳,越後三山,B
52,北陸,新潟,糸魚川市/妙高市,自然,山岳,焼山,B
53,北陸,新潟,上越市,自然,山岳,米山,B
54,北陸,新潟,長岡市,自然,山岳,弥彦山,B
55,北陸,新潟,魚沼市/三条市,自然,山岳,守門岳,B
56,北陸,新潟,魚沼市,自然,山岳,荒沢岳,B
57,北陸,新潟,糸魚川市/妙高市,自然,山岳,火打山,B
58,北陸,富山,立山町,自然,山岳,立山,S
59,北陸,富山,上市町/立山町,自然,山岳,剱岳,A
60,北陸,富山,富山市,自然,山岳,薬師岳,A
61,北陸,富山,朝日町,自然,山岳,朝日岳,B
62,北陸,富山,立山町/上市町,自然,山岳,大日岳,B
63,東海,山梨,南アルプス市,自然,山岳,白峰三山,A
64,東海,山梨,北杜市,自然,山岳,瑞牆山,B
65,東海,山梨,韮崎市,自然,山岳,鳳凰三山,B
66,東海,山梨,甲州市/丹波山村,自然,山岳,大菩薩嶺,B
67,東海,山梨,甲斐市,自然,山岳,茅ケ岳,B
68,東海,長野,松本市,自然,山岳,常念岳,A
69,東海,長野,上松町/木曽町,自然,山岳,木曽駒ヶ岳・宝剣岳,A
70,東海,長野,松本市,自然,山岳,焼岳,B
71,東海,長野,大桑村,自然,山岳,空木岳,B
72,東海,長野,長野市,自然,山岳,戸隠山,B
73,東海,長野,茅野市/立科町,自然,山岳,蓼科山,B
74,東海,長野,大町市,自然,山岳,鹿島槍ヶ岳,B
75,東海,長野,白馬村/黒部市,自然,山岳,唐松岳,B
76,東海,長野,黒部市,自然,山岳,五龍岳,B
77,東海,長野,安曇野市,自然,山岳,燕岳,B
78,東海,長野,安曇野市,自然,山岳,大天井岳,B
79,東海,長野,大桑村,自然,山岳,南駒が岳,B
80,東海,長野,信濃町,自然,山岳,黒姫山,B
81,東海,長野,栄村,自然,山岳,鳥甲山,B
82,東海,長野,山ノ内町,自然,山岳,岩菅山,B
