地域,都道府県,市町村名,自然・人文,種別名称,資源名称,資源ランク,資源種類
北海道,北海道,新冠町,自然,山岳,幌尻岳,B,自然資源
北海道,北海道,東川町,自然,山岳,大雪山,S,自然資源
北海道,北海道,利尻富士町,自然,山岳,利尻山,A,自然資源
北海道,北海道,京極町,自然,山岳,羊蹄山,A,自然資源
北海道,北海道,森町/鹿部町,自然,山岳,駒ヶ岳,A,自然資源
北海道,北海道,美瑛町/上富良野町/他,自然,山岳,十勝岳連山,A,自然資源
北海道,北海道,斜里町,自然,山岳,斜里岳,A,自然資源
北海道,北海道,斜里町,自然,山岳,羅臼岳,B,自然資源
北海道,北海道,壮瞥町,自然,山岳,有珠山,B,自然資源
北海道,北海道,鹿追町,自然,山岳,然別火山群,B,自然資源
北海道,北海道,倶知安町,自然,山岳,ニセコアンヌプリ,B,自然資源
北海道,北海道,苫小牧市,自然,山岳,樽前山,B,自然資源
北海道,北海道,千歳市,自然,山岳,恵庭岳,B,自然資源
北海道,北海道,壮瞥町,自然,山岳,昭和新山,B,自然資源
北海道,北海道,弟子屈町,自然,山岳,アトサヌプリ火山群,B,自然資源
北海道,北海道,美瑛町/新得町,自然,山岳,トムラウシ山,B,自然資源
北海道,北海道,釧路市,自然,山岳,雌阿寒岳,B,自然資源
北海道,北海道,阿寒町,自然,山岳,雄阿寒岳,B,自然資源
北海道,北海道,増毛町,自然,山岳,暑寒別岳,B,自然資源
東北,青森,弘前市,自然,山岳,岩木山,A,自然資源
東北,青森,青森市,自然,山岳,八甲田山,A,自然資源
東北,岩手,八幡平市,自然,山岳,岩手山,A,自然資源
東北,岩手,宮古市,自然,山岳,早池峰山,B,自然資源
東北,山形,鶴岡市,自然,山岳,月山,A,自然資源
東北,山形,上山市/川崎町/他,自然,山岳,蔵王山,B,自然資源
東北,福島,猪苗代町,自然,山岳,磐梯山,B,自然資源
東北,福島,檜枝岐村,自然,山岳,燧ヶ岳,B,自然資源
東北,福島,北塩原村,自然,山岳,吾妻連峰,B,自然資源
東北,福島,檜枝岐村,自然,山岳,会津駒ケ岳,B,自然資源
東北,福島,猪苗代町,自然,山岳,安達太良連山,B,自然資源
北関東,茨城,つくば市,自然,山岳,筑波山,B,自然資源
北関東,栃木,日光市,自然,山岳,男体山,A,自然資源
北関東,栃木,日光市,自然,山岳,女峰山,B,自然資源
北関東,栃木,日光市,自然,山岳,太郎山,B,自然資源
北関東,栃木,塩谷町,自然,山岳,高原山,B,自然資源
北関東,群馬,沼田市,自然,山岳,赤城山,B,自然資源
北関東,群馬,東吾妻町,自然,山岳,榛名山,B,自然資源
北関東,群馬,みなかみ町,自然,山岳,朝日岳,B,自然資源
北陸,新潟,魚沼市,自然,山岳,平ヶ岳,B,自然資源
北関東,群馬,草津町,自然,山岳,白根山（草津白根山）,B,自然資源
北関東,群馬,みなかみ町/片品村/他,自然,山岳,武尊山,B,自然資源
北関東,群馬,みなかみ町,自然,山岳,至仏山,B,自然資源
北関東,群馬,富岡市/安中市,自然,山岳,妙義山,B,自然資源
南関東,埼玉,小鹿野町/秩父市,自然,山岳,両神山,B,自然資源
東京,東京,大島町,自然,山岳,三原山,B,自然資源
東京,東京,八丈町,自然,山岳,八丈富士,B,自然資源
東京,東京,三宅村,自然,山岳,雄山,B,自然資源
南関東,神奈川,箱根町,自然,山岳,箱根山,B,自然資源
南関東,神奈川,相模原市,自然,山岳,丹沢山塊,B,自然資源
南関東,神奈川,伊勢原市,自然,山岳,大山,B,自然資源
北陸,新潟,妙高市,自然,山岳,妙高山,A,自然資源
北陸,新潟,南魚沼市,自然,山岳,越後三山,B,自然資源
北陸,新潟,糸魚川市/妙高市,自然,山岳,焼山,B,自然資源
北陸,新潟,上越市,自然,山岳,米山,B,自然資源
北陸,新潟,長岡市,自然,山岳,弥彦山,B,自然資源
北陸,新潟,魚沼市/三条市,自然,山岳,守門岳,B,自然資源
北陸,新潟,魚沼市,自然,山岳,荒沢岳,B,自然資源
北陸,新潟,糸魚川市/妙高市,自然,山岳,火打山,B,自然資源
北陸,富山,立山町,自然,山岳,立山,S,自然資源
北陸,富山,上市町/立山町,自然,山岳,剱岳,A,自然資源
北陸,富山,富山市,自然,山岳,薬師岳,A,自然資源
北陸,富山,朝日町,自然,山岳,朝日岳,B,自然資源
北陸,富山,立山町/上市町,自然,山岳,大日岳,B,自然資源
東海,山梨,南アルプス市,自然,山岳,白峰三山,A,自然資源
東海,山梨,北杜市,自然,山岳,瑞牆山,B,自然資源
東海,山梨,韮崎市,自然,山岳,鳳凰三山,B,自然資源
東海,山梨,甲州市/丹波山村,自然,山岳,大菩薩嶺,B,自然資源
東海,山梨,甲斐市,自然,山岳,茅ケ岳,B,自然資源
東海,長野,松本市,自然,山岳,常念岳,A,自然資源
東海,長野,上松町/木曽町,自然,山岳,木曽駒ヶ岳・宝剣岳,A,自然資源
東海,長野,松本市,自然,山岳,焼岳,B,自然資源
東海,長野,大桑村,自然,山岳,空木岳,B,自然資源
東海,長野,長野市,自然,山岳,戸隠山,B,自然資源
東海,長野,茅野市/立科町,自然,山岳,蓼科山,B,自然資源
東海,長野,大町市,自然,山岳,鹿島槍ヶ岳,B,自然資源
東海,長野,白馬村/黒部市,自然,山岳,唐松岳,B,自然資源
東海,長野,黒部市,自然,山岳,五龍岳,B,自然資源
東海,長野,安曇野市,自然,山岳,燕岳,B,自然資源
東海,長野,安曇野市,自然,山岳,大天井岳,B,自然資源
東海,長野,大桑村,自然,山岳,南駒が岳,B,自然資源
東海,長野,信濃町,自然,山岳,黒姫山,B,自然資源
東海,長野,栄村,自然,山岳,鳥甲山,B,自然資源
東海,長野,山ノ内町,自然,山岳,岩菅山,B,自然資源
北陸,岐阜,高山市,自然,山岳,笠ヶ岳,B,自然資源
東海,静岡,東伊豆町,自然,山岳,天城山,B,自然資源
中国,兵庫,神戸市,自然,山岳,六甲山,B,自然資源
南関西,奈良,天川村,自然,山岳,大峰山,B,自然資源
中国,鳥取,大山町,自然,山岳,大山,A,自然資源
中国,島根,大田市,自然,山岳,三瓶山,B,自然資源
四国,徳島,三好市/那賀町,自然,山岳,剣山,B,自然資源
四国,愛媛,西条市/久万高原町,自然,山岳,石鎚山,B,自然資源
九州,長崎,島原市,自然,山岳,雲仙岳,B,自然資源
九州,熊本,高森町,自然,山岳,阿蘇山,S,自然資源
九州,大分,竹田市,自然,山岳,九重連山,B,自然資源
九州,大分,由布市,自然,山岳,由布岳,B,自然資源
九州,宮崎,高原町,自然,山岳,高千穂峰,B,自然資源
九州,鹿児島,屋久島町,自然,山岳,宮之浦岳,A,自然資源
九州,鹿児島,鹿児島市,自然,山岳,桜島,A,自然資源
九州,鹿児島,屋久島町,自然,山岳,永田岳,B,自然資源
九州,鹿児島,指宿市,自然,山岳,開聞岳,B,自然資源
北海道,北海道,根室市,自然,高原・湿原・原野,春国岱（根室）,B,自然資源
北海道,北海道,豊富町/幌延町,自然,高原・湿原・原野,サロベツ原野,A,自然資源
北海道,北海道,釧路市/標茶町/他,自然,高原・湿原・原野,釧路湿原,A,自然資源
北海道,北海道,浜中町,自然,高原・湿原・原野,霧多布湿原,A,自然資源
北海道,北海道,雨竜町,自然,高原・湿原・原野,雨竜沼湿原,A,自然資源
北海道,北海道,富良野市,自然,高原・湿原・原野,原始ケ原,B,自然資源
北海道,北海道,上川町/東川町,自然,高原・湿原・原野,沼ノ平,B,自然資源
北海道,北海道,上川町/新得町,自然,高原・湿原・原野,沼ノ原,B,自然資源
北海道,北海道,厚岸町/標茶町,自然,高原・湿原・原野,別寒辺牛湿原,B,自然資源
東北,青森,十和田市,自然,高原・湿原・原野,谷地湿原,B,自然資源
東北,岩手,八幡平市/鹿角市/他,自然,高原・湿原・原野,八幡平,A,自然資源
東北,岩手,久慈市,自然,高原・湿原・原野,平庭高原,B,自然資源
東北,岩手,岩泉町/盛岡市,自然,高原・湿原・原野,早坂高原,B,自然資源
東北,岩手,住田町/遠野市/他,自然,高原・湿原・原野,種山ヶ原,B,自然資源
東北,宮城,七ヶ宿町,自然,高原・湿原・原野,芝草平,B,自然資源
東北,福島,北塩原村,自然,高原・湿原・原野,雄国沼湿原,A,自然資源
東北,福島,南会津町,自然,高原・湿原・原野,田代山湿原,B,自然資源
北関東,栃木,日光市,自然,高原・湿原・原野,戦場ヶ原・小田代ヶ原,A,自然資源
北関東,栃木,日光市,自然,高原・湿原・原野,鬼怒沼湿原,A,自然資源
北関東,栃木,鹿沼市,自然,高原・湿原・原野,古峯ヶ原高原,B,自然資源
北関東,群馬,片品村,自然,高原・湿原・原野,アヤメ平,B,自然資源
南関東,神奈川,箱根町,自然,高原・湿原・原野,仙石原高原,B,自然資源
北陸,新潟,妙高市,自然,高原・湿原・原野,天狗の庭湿原,B,自然資源
北陸,新潟,妙高市,自然,高原・湿原・原野,高谷池湿原,B,自然資源
北陸,富山,富山市,自然,高原・湿原・原野,雲ノ平,A,自然資源
東海,長野,山ノ内町,自然,高原・湿原・原野,志賀高原,B,自然資源
東海,長野,松本市/上田市/他,自然,高原・湿原・原野,美ヶ原高原,B,自然資源
東海,長野,小谷村,自然,高原・湿原・原野,栂池高原,B,自然資源
