,都道府県
東京,179
京都,179
北海道,148
長野,101
奈良,97
沖縄,79
大阪,77
滋賀,70
神奈川,69
兵庫,68
青森,62
福岡,61
新潟,60
鹿児島,59
栃木,58
静岡,58
長崎,57
群馬,57
愛知,56
島根,54
愛媛,53
岩手,53
福島,51
和歌山,48
富山,46
三重,46
岐阜,44
石川,44
千葉,43
秋田,42
宮城,42
岡山,41
山形,40
熊本,40
山口,39
埼玉,39
大分,38
宮崎,35
茨城,35
広島,35
山梨,35
香川,31
高知,29
佐賀,28
鳥取,25
福井,23
徳島,18
長野・富山,6
山梨・長野,5
長野・岐阜,4
長野・静岡,4
新潟・長野,3
青森・秋田,2
福島・新潟,2
栃木・群馬,2
山梨・静岡,2
長野・群馬,2
群馬・新潟,2
愛媛・高知,2
岐阜・愛知,1
秋田・宮城・岩手,1
福岡・佐賀,1
埼玉・東京・山梨,1
広島・岡山・香川,1
秋田・岩手,1
山形・宮城,1
徳島・兵庫,1
和歌山・三重,1
徳島・香川・愛媛・高知,1
広島・愛媛,1
香川・岡山,1
岩手・青森・秋田,1
石川・福井,1
兵庫・鳥取,1
秋田・山形,1
山口・福岡,1
福岡・大分,1
鳥取・島根,1
鹿児島・宮崎,1
三重・奈良,1
京都・滋賀,1
山形・新潟,1
群馬・長野,1
新潟・群馬,1
新潟・富山,1
富山・長野,1
富山・岐阜,1
石川・岐阜,1
群馬・新潟・長野,1
長野・山梨,1
長野・岐阜・富山,1
岐阜・長野,1
静岡・長野,1
滋賀・岐阜,1
栃木・福島,1
鳥取・兵庫,1
大分・宮崎,1
宮崎・鹿児島,1
山形・新潟・福島,1
群馬・福島,1
埼玉・山梨・長野,1
新潟・福島,1
山形・秋田,1
茨城・福島,1
岐阜・愛知・三重,1
山梨県,1
