都道府県,自然資源,歴史資源,現代資源,資源総数,自然資源_割合,歴史資源_割合,現代資源_割合,HHI指数
北海道,103,18,27,148,0.6959459459459459,0.12162162162162163,0.18243243243243243,0.5324141709276844
青森,33,17,12,62,0.532258064516129,0.27419354838709675,0.1935483870967742,0.39594172736732564
岩手,30,14,9,53,0.5660377358490566,0.2641509433962264,0.16981132075471697,0.41901032395870413
山形,16,15,9,40,0.4,0.375,0.225,0.35125000000000006
福島,25,17,9,51,0.49019607843137253,0.3333333333333333,0.17647058823529413,0.3825451749327182
茨城,11,12,12,35,0.3142857142857143,0.34285714285714286,0.34285714285714286,0.33387755102040817
栃木,30,17,11,58,0.5172413793103449,0.29310344827586204,0.1896551724137931,0.3894173602853746
群馬,33,18,6,57,0.5789473684210527,0.3157894736842105,0.10526315789473684,0.44598337950138506
新潟,36,15,9,60,0.6,0.25,0.15,0.445
埼玉,14,18,7,39,0.358974358974359,0.46153846153846156,0.1794871794871795,0.37409598948060485
東京,49,38,92,179,0.2737430167597765,0.2122905027932961,0.5139664804469274,0.3841640398239755
神奈川,17,31,21,69,0.2463768115942029,0.4492753623188406,0.30434782608695654,0.35517748372190716
富山,22,17,7,46,0.4782608695652174,0.3695652173913043,0.15217391304347827,0.388468809073724
山梨,16,14,6,36,0.4444444444444444,0.3888888888888889,0.16666666666666666,0.3765432098765432
長野,52,27,22,101,0.5148514851485149,0.26732673267326734,0.21782178217821782,0.38398196255269096
岐阜,11,25,8,44,0.25,0.5681818181818182,0.18181818181818182,0.4183884297520662
静岡,25,26,7,58,0.43103448275862066,0.4482758620689655,0.1206896551724138,0.40130796670630203
兵庫,18,28,22,68,0.2647058823529412,0.4117647058823529,0.3235294117647059,0.34429065743944637
奈良,8,75,14,97,0.08247422680412371,0.7731958762886598,0.14432989690721648,0.6254649803379743
鳥取,10,13,2,25,0.4,0.52,0.08,0.4368000000000001
島根,15,30,9,54,0.2777777777777778,0.5555555555555556,0.16666666666666666,0.4135802469135803
徳島,8,4,6,18,0.4444444444444444,0.2222222222222222,0.3333333333333333,0.35802469135802467
愛媛,16,29,8,53,0.3018867924528302,0.5471698113207547,0.1509433962264151,0.413314346742613
長崎,17,25,15,57,0.2982456140350877,0.43859649122807015,0.2631578947368421,0.350569405971068
熊本,18,15,7,40,0.45,0.375,0.175,0.37375
大分,16,11,11,38,0.42105263157894735,0.2894736842105263,0.2894736842105263,0.34487534626038785
宮崎,20,10,5,35,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.42857142857142855
鹿児島,37,11,11,59,0.6271186440677966,0.1864406779661017,0.1864406779661017,0.4627980465383511
宮城,18,14,10,42,0.42857142857142855,0.3333333333333333,0.23809523809523808,0.3514739229024943
岡山,9,22,10,41,0.21951219512195122,0.5365853658536586,0.24390243902439024,0.3955978584176086
秋田,18,15,9,42,0.42857142857142855,0.35714285714285715,0.21428571428571427,0.3571428571428571
千葉,14,19,10,43,0.32558139534883723,0.4418604651162791,0.23255813953488372,0.3553272038939968
石川,11,17,16,44,0.25,0.38636363636363635,0.36363636363636365,0.3440082644628099
福井,8,12,3,23,0.34782608695652173,0.5217391304347826,0.13043478260869565,0.4102079395085066
滋賀,13,48,9,70,0.18571428571428572,0.6857142857142857,0.12857142857142856,0.5212244897959184
三重,8,26,12,46,0.17391304347826086,0.5652173913043478,0.2608695652173913,0.4177693761814744
京都,17,128,34,179,0.09497206703910614,0.7150837988826816,0.18994413407821228,0.5564433070128898
和歌山,17,28,3,48,0.3541666666666667,0.5833333333333334,0.0625,0.46961805555555564
広島,9,16,10,35,0.2571428571428571,0.45714285714285713,0.2857142857142857,0.35673469387755097
山口,9,17,13,39,0.23076923076923078,0.4358974358974359,0.3333333333333333,0.35437212360289283
高知,14,12,3,29,0.4827586206896552,0.41379310344827586,0.10344827586206896,0.41498216409036864
沖縄,48,18,13,79,0.6075949367088608,0.22784810126582278,0.16455696202531644,0.4481653581156866
佐賀,10,10,8,28,0.35714285714285715,0.35714285714285715,0.2857142857142857,0.336734693877551
愛知,7,36,13,56,0.125,0.6428571428571429,0.23214285714285715,0.48278061224489804
福岡,14,26,21,61,0.22950819672131148,0.4262295081967213,0.3442622950819672,0.35286213383499054
大阪,13,38,26,77,0.16883116883116883,0.4935064935064935,0.33766233766233766,0.38606847697756785
香川,6,18,7,31,0.1935483870967742,0.5806451612903226,0.22580645161290322,0.4255983350676379
