,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,昇仙峡,19,19201,河川・峡谷,甲府市高成町,-1,,,,,,,,,,,
1,金櫻神社,19,19201,‐,甲府市御岳町2347,2,,,,,,,,,,,
2,山梨県立愛宕山こどもの国,19,19201,‐,甲府市愛宕町358-1,4,,,,,,,,,,,
3,山梨県立美術館,19,19201,‐,甲府市貢川1-4-27,2,,,,,,,,,,,
4,山梨県立文学館,19,19201,‐,甲府市貢川1-5-35,2,,,,,,,,,,,
5,武田神社,19,19201,‐,甲府市古府中町2611,2,,,,,,,,,,,
6,甲府市遊亀公園付属動物園,19,19201,‐,甲府市太田町10-1,2,,,,,,,,,,,
7,山梨県立科学館,19,19201,‐,甲府市愛宕町358-1,2,,,,,,,,,,,
8,（財）山梨県地場産業振興センター（かいてらす）,19,19201,‐,甲府市東光寺3-13-25,5,,,,,,,,,,,
9,小瀬スポーツ公園,19,19201,‐,甲府市小瀬町840,4,,,,,,,,,,,
10,柳町大神宮節分祭,19,19201,‐,甲府市中央4-5-29,1,,,,,,,,,,,
11,武田２４将騎馬行列,19,19201,‐,甲府市,1,,,,,,,,,,,
12,正の木祭り,19,19201,‐,甲府市太田町10-2,1,,,,,,,,,,,
13,甲府大好きまつり,19,19201,‐,甲府市,1,,,,,,,,,,,
14,山梨県立考古博物館,19,19201,‐,甲府市下曽根町923,2,,,,,,,,,,,
15,甲府市右左口の里,19,19201,‐,甲府市中畑町1132,4,,,,,,,,,,,
16,甲府市上九の湯ふれあいセンター,19,19201,‐,甲府市古関町1174,3,,,,,,,,,,,
17,上九ふれあい農産物直売所,19,19201,‐,甲府市古関1154-1,5,,,,,,,,,,,
18,甲府市農林業まつり,19,19201,‐,甲府市,1,,,,,,,,,,,
19,山梨県富士山科学研究所,19,19202,‐,富士吉田市上吉田字剣丸尾5597-1,2,,,,,,,,,,,
20,富士吉田市歴史民俗博物館,19,19202,‐,富士吉田市上吉田2288-1,2,,,,,,,,,,,
21,富士山レーダードーム館,19,19202,‐,富士吉田市新屋1936-1,2,,,,,,,,,,,
22,富士山アリーナ,19,19202,‐,富士吉田市新屋1936,4,,,,,,,,,,,
23,道の駅富士吉田,19,19202,‐,富士吉田市新屋1936-6,6,,,,,,,,,,,
24,吉田の火祭り・すすき祭り,19,19202,‐,富士吉田市上吉田5558,1,,,,,,,,,,,
25,火祭りロードレース,19,19202,‐,富士吉田市上吉田5000,1,,,,,,,,,,,
26,心静かに紅葉を観る会,19,19202,‐,富士吉田市上吉田2288-1,1,,,,,,,,,,,
27,リフレふじよしだ春祭り,19,19202,‐,富士吉田市新屋1936-6,1,,,,,,,,,,,
28,農業まつり＆リフレふじよしだ秋祭り,19,19202,‐,富士吉田市新屋1936,1,,,,,,,,,,,
29,山梨県立リニア見学センター,19,19204,‐,都留市小形山2381,2,,,,,,,,,,,
30,ミュージアム都留,19,19204,‐,都留市上谷1-5-1,2,,,,,,,,,,,
31,西東京ゴルフ倶楽部,19,19204,‐,都留市十日市場字日向山2108,4,,,,,,,,,,,
32,和みの里　芭蕉月待ちの湯,19,19204,‐,都留市戸沢1126,3,,,,,,,,,,,
33,八朔祭り・大名行列,19,19204,‐,都留市,1,,,,,,,,,,,
